LOG_NO,RACE,GENDER,BIRTH_YEAR,AGE
20074,,,,
20089,,,,
258959,,,,
258960,,,,
258961,,,,
258962,,,,
258963,,,,
258964,,,,
258965,,,,
258996,,,,
258997,,,,
258998,,,,
258999,,,,
259000,,,,
259001,,,,
259002,,,,
259003,,,,
259004,,,,
259005,,,,
259006,,,,
259007,,,,
259008,,,,
259009,,,,
259010,,,,
259011,,,,
259012,,,,
259013,,,,
259014,,,,
259015,,,,
259016,,,,
259017,,,,
259018,,,,
259019,,,,
259020,,,,
259021,,,,
259022,,,,
259023,,,,
259024,,,,
259025,,,,
259026,,,,
259027,,,,
259028,,,,
259029,,,,
259030,,,,
259031,,,,
259032,,,,
259033,,,,
259034,,,,
259035,,,,
259036,,,,
259037,,,,
259038,,,,
259039,,,,
259040,,,,
259041,,,,
259042,,,,
259043,,,,
259044,,,,
259045,,,,
259046,,,,
259047,,,,
259048,,,,
259049,,,,
259050,,,,
259051,,,,
259052,,,,
259053,,,,
259054,,,,
259055,,,,
259056,,,,
259057,,,,
259058,,,,
259059,,,,
259060,,,,
259061,,,,
259062,,,,
259063,,,,
259064,,,,
259065,,,,
259066,,,,
259067,,,,
259068,,,,
259069,,,,
259070,,,,
259071,,,,
259072,,,,
259073,,,,
259074,,,,
259075,,,,
259076,,,,
259077,,,,
259078,,,,
259079,,,,
259080,,,,
259081,,,,
259082,,,,
259083,,,,
259084,,,,
259085,,,,
259086,,,,
259087,,,,
259088,,,,
259089,,,,
259090,,,,
259091,,,,
259092,,,,
259093,,,,
259094,,,,
259095,,,,
259096,,,,
259097,,,,
259098,,,,
259099,,,,
259100,,,,
259101,,,,
259102,,,,
259103,,,,
259104,,,,
259105,,,,
259106,,,,
259107,,,,
259108,,,,
259109,,,,
259110,,,,
259111,,,,
259112,,,,
259113,,,,
259114,,,,
259115,,,,
259116,,,,
259117,,,,
259118,,,,
259119,,,,
259120,,,,
259121,,,,
259122,,,,
259123,,,,
259124,,,,
259125,,,,
259126,,,,
259127,,,,
259128,,,,
259129,,,,
259130,,,,
259131,,,,
259132,,,,
259133,,,,
259134,,,,
259135,,,,
259136,,,,
259137,,,,
259138,,,,
259139,,,,
259140,,,,
259141,,,,
259142,,,,
259143,,,,
259144,,,,
259145,,,,
259146,,,,
259147,,,,
259148,,,,
259149,,,,
259150,,,,
259151,,,,
259152,,,,
259153,,,,
259154,,,,
259155,,,,
