LOG_NO,RACE,GENDER,BIRTH_YEAR,AGE
2019-0000001,NULL,NULL,NULL,NULL
2019-0000003,NULL,NULL,NULL,NULL
2019-0000004,NULL,NULL,NULL,NULL
2019-0000008,NULL,NULL,NULL,NULL
2019-0000010,NULL,NULL,NULL,NULL
2019-0000014,NULL,NULL,NULL,NULL
2019-0000019,NULL,NULL,NULL,NULL
2019-0000029,NULL,NULL,NULL,NULL
2019-0000033,NULL,NULL,NULL,NULL
2019-0000037,NULL,NULL,NULL,NULL
2019-0000046,Black or African American,Male,1984,35
2019-0000046,Black or African American,Female,1959,60
2019-0000048,NULL,NULL,NULL,NULL
2019-0000053,NULL,NULL,NULL,NULL
2019-0000061,NULL,NULL,NULL,NULL
2019-0000065,NULL,NULL,NULL,NULL
2019-0000066,NULL,NULL,NULL,NULL
2019-0000067,NULL,NULL,NULL,NULL
2019-0000069,NULL,NULL,NULL,NULL
2019-0000072,"Hispanic, Latino, or Spanish Origin",Female,1993,26
2019-0000075,NULL,NULL,NULL,NULL
2019-0000077,NULL,NULL,NULL,NULL
2019-0000079,NULL,NULL,NULL,NULL
2019-0000079,NULL,NULL,NULL,NULL
2019-0000080,"Hispanic, Latino, or Spanish Origin",Female,1994,25
2019-0000081,NULL,NULL,NULL,NULL
2019-0000083,NULL,NULL,NULL,NULL
2019-0000086,NULL,NULL,NULL,NULL
2019-0000087,Black or African American,Female,1959,60
2019-0000090,Black or African American,Male,2000,19
2019-0000090,Black or African American,Female,2001,18
2019-0000090,Black or African American,Male,2000,19
2019-0000090,NULL,NULL,NULL,NULL
2019-0000090,NULL,NULL,NULL,NULL
2019-0000090,NULL,NULL,NULL,NULL
2019-0000090,NULL,NULL,NULL,NULL
2019-0000090,NULL,NULL,NULL,NULL
2019-0000090,Middle Eastern or North African,Male,NULL,NULL
2019-0000092,NULL,NULL,1970,49
2019-0000096,NULL,NULL,NULL,NULL
2019-0000098,NULL,NULL,NULL,NULL
2019-0000099,NULL,NULL,NULL,NULL
2019-0000100,NULL,NULL,NULL,NULL
2019-0000102,Black or African American,Female,1989,30
2019-0000104,NULL,NULL,NULL,NULL
