LOG_NO,RACE,GENDER,BIRTH_YEAR
2019-0000001,Black or African American,Male,1970
2019-0000003,Black or African American,Female,1978
2019-0000004,White,Male,1997
2019-0000008,Black or African American,NULL,1990
2019-0000010,Black or African American,Male,1970
2019-0000014,Black or African American,Male,1955
2019-0000019,Black or African American,Male,1988
2019-0000029,White,Female,1989
2019-0000033,Black or African American,Male,NULL
2019-0000037,Black or African American,Male,1969
2019-0000046,Black or African American,Female,1988
2019-0000048,WHI,M,1976
2019-0000053,Black or African American,Female,1991
2019-0000061,Not listed,Male,1964
2019-0000065,NULL,Male,NULL
2019-0000065,WHI,M,1975
2019-0000066,WHI,F,1975
2019-0000067,Black or African American,NULL,NULL
2019-0000069,Black or African American,Female,1971
2019-0000072,"Hispanic, Latino, or Spanish Origin",Male,1969
2019-0000072,"Hispanic, Latino, or Spanish Origin",Female,1993
2019-0000075,Middle Eastern or North African,Male,1962
2019-0000077,Black or African American,Male,1996
2019-0000077,Black or African American,Female,1996
2019-0000077,WHI,M,1972
2019-0000079,Black or African American,Male,1979
2019-0000080,"Hispanic, Latino, or Spanish Origin",Male,1988
2019-0000081,White,Female,1976
2019-0000083,NULL,Female,1963
2019-0000083,BLK,F,1981
2019-0000086,NULL,Female,1986
2019-0000087,Black or African American,Female,1988
2019-0000090,BLK,M,1960
2019-0000092,White,Female,2001
2019-0000096,Black or African American,Male,NULL
2019-0000098,Black or African American,Male,1997
2019-0000099,White,Female,NULL
2019-0000100,Black or African American,Female,1961
2019-0000100,WHI,M,1981
2019-0000102,WHI,F,1972
2019-0000102,WHI,M,1978
2019-0000104,Black or African American,Male,1991
2019-0000106,Black or African American,NULL,1960
2019-0000106,Black or African American,NULL,1991
2019-0000108,NULL,NULL,NULL
2019-0000114,Black or African American,Male,1988
2019-0000115,Black or African American,Female,NULL
2019-0000117,Black or African American,Female,NULL
2019-0000123,Black or African American,Female,1981
2019-0000125,White,Male,NULL
2019-0000128,WHI,F,1958
2019-0000133,Black or African American,Male,1995
2019-0000137,Black or African American,Male,1994
2019-0000138,Black or African American,Female,NULL
2019-0000138,Black or African American,Male,1996
2019-0000139,"Hispanic, Latino, or Spanish Origin",NULL,1987
2019-0000140,Black or African American,Male,2001
2019-0000140,Black or African American,Female,1977
2019-0000140,Black or African American,NULL,1996
2019-0000142,Black or African American,Male,1969
2019-0000148,WHI,M,1975
2019-0000149,Black or African American,Male,1975
2019-0000150,NULL,NULL,NULL
2019-0000156,Black or African American,Female,1984
2019-0000160,Black or African American,Male,1994
2019-0000165,"Hispanic, Latino, or Spanish Origin",Male,1996
2019-0000166,White,NULL,NULL
2019-0000172,"Hispanic, Latino, or Spanish origin",Male,1970
2019-0000174,Black or African American,NULL,1986
2019-0000178,White,Female,1980
2019-0000183,Black or African American,Female,1996
2019-0000189,Black or African American,Male,1994
2019-0000202,NULL,NULL,NULL
2019-0000204,Black or African American,Male,1957
2019-0000206,NULL,NULL,NULL
2019-0000207,NULL,NULL,NULL
2019-0000208,NULL,Male,NULL
2019-0000211,NULL,NULL,NULL
2019-0000214,"Hispanic, Latino, or Spanish Origin",Female,1983
2019-0000216,Black or African American,Male,1978
2019-0000218,NULL,NULL,NULL
2019-0000218,NULL,NULL,NULL
2019-0000220,Black or African American,Female,1987
2019-0000221,NULL,NULL,NULL
2019-0000225,NULL,NULL,NULL
2019-0000226,Black or African American,Male,1991
2019-0000228,White,Female,1966
2019-0000230,Black or African American,NULL,1987
2019-0000233,WHI,M,1959
2019-0000238,WHI,M,1966
2019-0000239,"Hispanic, Latino, or Spanish Origin",Male,1978
2019-0000239,NULL,NULL,NULL
